Year,Week,Movie,Viewers
2023,1,"Avatar: Suyun Yolu
 16 Aralık 2022",1093
2023,1,"Çakallarla Dans 6
 2 Aralık 2022",300
2023,1,"Nasreddin Hoca Zaman Yolcusu
 9 Aralık 2022",298
2023,1,"Lanetli Göl
 30 Aralık 2022",196
2023,1,"Ayı Kardeşler: Dünya'ya Dönüş
 23 Aralık 2022",200
2023,1,"Kurak Günler
 9 Aralık 2022",132
2023,1,"Hayalimdeki Düğün
 30 Aralık 2022",168
2023,1,"Buğday Tanesi
 2 Aralık 2022",65
2023,1,"Ajan Kedi
 16 Aralık 2022",78
2023,1,"Yunus Çocuk
 2 Aralık 2022",59
2023,2,"Rafadan Tayfa Galaktik Tayfa
 6 Ocak 2023",692
2023,2,"Avatar: Suyun Yolu
 16 Aralık 2022",811
2023,2,"Sevda Mecburi İstikamet
 6 Ocak 2023",407
2023,2,"Çakallarla Dans 6
 2 Aralık 2022",202
2023,2,"Kurak Günler
 9 Aralık 2022",59
2023,2,"Düşeş 1 - Mafya Sızıntısı
 6 Ocak 2023",156
2023,2,"Nasreddin Hoca Zaman Yolcusu
 9 Aralık 2022",173
2023,2,"Lanetli Göl
 30 Aralık 2022",98
2023,2,"Evlad-ı Cin
 6 Ocak 2023",74
2023,2,"Fabelmanlar
 6 Ocak 2023",70
2023,3,"Rafadan Tayfa Galaktik Tayfa
 6 Ocak 2023",763
2023,3,"İllegal Hayatlar
 13 Ocak 2023",316
2023,3,"Avatar: Suyun Yolu
 16 Aralık 2022",630
2023,3,"Servet Operasyonu
 13 Ocak 2023",448
2023,3,"Sevda Mecburi İstikamet
 6 Ocak 2023",250
2023,3,"Megan
 13 Ocak 2023",109
2023,3,"Çakallarla Dans 6
 2 Aralık 2022",101
2023,3,"Ammar 3: Cin Kabilesi
 13 Ocak 2023",110
2023,3,"Tamiri Mümkün
 13 Ocak 2023",162
2023,3,"Kurak Günler
 9 Aralık 2022",21
2023,4,"Rafadan Tayfa Galaktik Tayfa
 6 Ocak 2023",582
2023,4,"Kutsal Damacana 4
 20 Ocak 2023",460
2023,4,"Avatar: Suyun Yolu
 16 Aralık 2022",460
2023,4,"İllegal Hayatlar
 13 Ocak 2023",309
2023,4,"49
 20 Ocak 2023",253
2023,4,"Benim Tatlı Diş Perim
 20 Ocak 2023",230
2023,4,"Muhteşem Kedi Maurice
 20 Ocak 2023",188
2023,4,"Servet Operasyonu
 13 Ocak 2023",208
2023,4,"Babil
 20 Ocak 2023",107
2023,4,"Megan
 13 Ocak 2023",91
2023,5,"Rafadan Tayfa Galaktik Tayfa
 6 Ocak 2023",507
2023,5,"Kutsal Damacana 4
 20 Ocak 2023",467
2023,5,"Çizmeli Kedi: Son Dilek
 27 Ocak 2023",341
2023,5,"Avatar: Suyun Yolu
 16 Aralık 2022",298
2023,5,"İllegal Hayatlar
 13 Ocak 2023",289
2023,5,"Demir Kadın: Neslican
 27 Ocak 2023",326
2023,5,"Ainbo: Amazon'da Büyük Macera
 27 Ocak 2023",156
2023,5,"Benim Tatlı Diş Perim
 20 Ocak 2023",125
2023,5,"49
 20 Ocak 2023",122
2023,5,"Uçak
 27 Ocak 2023",135
2023,6,"Rafadan Tayfa Galaktik Tayfa
 6 Ocak 2023",378
2023,6,"Çizmeli Kedi: Son Dilek
 27 Ocak 2023",315
2023,6,"Kutsal Damacana 4
 20 Ocak 2023",358
2023,6,"Prestij Meselesi
 3 Şubat 2023",561
2023,6,"Avatar: Suyun Yolu
 16 Aralık 2022",209
2023,6,"İllegal Hayatlar
 13 Ocak 2023",218
2023,6,"Musallat 3
 3 Şubat 2023",251
2023,6,"Mumyalar
 3 Şubat 2023",165
2023,6,"BTS: Yet to Come in Cinemas
 1 Şubat 2023",111
2023,6,"Demir Kadın: Neslican
 27 Ocak 2023",170
2023,7,"Rafadan Tayfa Galaktik Tayfa
 6 Ocak 2023",348
2023,7,"Çizmeli Kedi: Son Dilek
 27 Ocak 2023",292
2023,7,"Kutsal Damacana 4
 20 Ocak 2023",325
